codice_istat,regione,consumo_suolo_pct,suolo_consumato_ha,fonte
01,Piemonte,6.72,170769,ISPRA/SNPA 2023 (Tab.10)
02,Valle d'Aosta,2.16,7040,ISPRA/SNPA 2023 (Tab.10)
03,Lombardia,12.19,290979,ISPRA/SNPA 2023 (Tab.10)
04,Trentino-Alto Adige,3.02,41118,ISPRA/SNPA 2023 (Tab.10)
05,Veneto,11.86,217520,ISPRA/SNPA 2023 (Tab.10)
06,Friuli-Venezia Giulia,8.03,63617,ISPRA/SNPA 2023 (Tab.10)
07,Liguria,7.30,39570,ISPRA/SNPA 2023 (Tab.10)
08,Emilia-Romagna,8.91,200547,ISPRA/SNPA 2023 (Tab.10)
09,Toscana,6.19,142320,ISPRA/SNPA 2023 (Tab.10)
10,Umbria,5.27,44542,ISPRA/SNPA 2023 (Tab.10)
11,Marche,6.98,65144,ISPRA/SNPA 2023 (Tab.10)
12,Lazio,8.19,140943,ISPRA/SNPA 2023 (Tab.10)
13,Abruzzo,5.03,54314,ISPRA/SNPA 2023 (Tab.10)
14,Molise,3.94,17507,ISPRA/SNPA 2023 (Tab.10)
15,Campania,10.57,143858,ISPRA/SNPA 2023 (Tab.10)
16,Puglia,8.27,160004,ISPRA/SNPA 2023 (Tab.10)
17,Basilicata,3.21,32030,ISPRA/SNPA 2023 (Tab.10)
18,Calabria,5.08,76680,ISPRA/SNPA 2023 (Tab.10)
19,Sicilia,6.53,168003,ISPRA/SNPA 2023 (Tab.10)
20,Sardegna,3.37,81261,ISPRA/SNPA 2023 (Tab.10)
,ITALIA (media nazionale),7.16,2157766,ISPRA/SNPA 2023 (Tab.10 - riga di riferimento, non mappare)
