paese,codice_iso,rinnovabili_pct
Islanda,ISL,79.4
Norvegia,NOR,76.7
Svezia,SWE,66.4
Finlandia,FIN,50.8
Albania,ALB,46.6
Danimarca,DNK,43.7
Lettonia,LVA,43.2
Austria,AUT,41.6
Estonia,EST,41.0
Montenegro,MNE,40.9
Bosnia ed Erzegovina,BIH,40.0
Portogallo,PRT,35.2
Lituania,LTU,31.9
Croazia,HRV,28.1
Romania,ROU,25.8
Serbia,SRB,25.4
Grecia,GRC,25.3
Slovenia,SVN,25.1
Spagna,ESP,25.0
Bulgaria,BGR,23.2
Moldavia,MDA,23.0
Francia,FRA,22.5
Germania,DEU,21.5
Cipro,CYP,20.2
Macedonia del Nord,MKD,20.2
Kosovo,,20.2
Georgia,GEO,19.9
Italia,ITA,19.2
Repubblica Ceca,CZE,18.6
Paesi Bassi,NLD,17.6
Ungheria,HUN,17.1
Slovacchia,SVK,17.0
Polonia,POL,16.7
Irlanda,IRL,15.2
Belgio,BEL,14.7
Lussemburgo,LUX,14.3
