lat,lon,data,anno,localita,area,vittime,vittime_civili,tipo_violenza,attore_a,attore_b,precisione_geo
32.0,35.25,1989-01-16,1989,West Bank,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
32.50812,35.22766,1989-03-19,1989,Silat al-Harithiyah village,West Bank,2,2,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.42507,34.3734,1989-03-19,1989,Gaza Strip,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
32.31847,35.05926,1989-03-22,1989,Tulkarm refugee camp,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
32.08194,35.18222,1989-03-30,1989,Salfit town,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,2
31.42507,34.3734,1989-04-01,1989,Gaza Strip,Gaza Strip,2,2,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.42507,34.3734,1989-04-01,1989,Gaza Strip,Gaza Strip,0,0,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.42507,34.3734,1989-04-01,1989,Gaza Strip,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
32.21986,35.29744,1989-04-01,1989,Askar refugee camp,West Bank,0,0,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.78333,35.21667,1989-04-10,1989,Jerusalem city,Jerusalem district,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.90256,35.19555,1989-04-16,1989,Ramallah town,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.40079,35.06708,1989-04-16,1989,As-Samu town,West Bank,2,2,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.42507,34.3734,1989-04-17,1989,Gaza Strip,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.42507,34.3734,1989-04-26,1989,Gaza Strip,Gaza Strip,2,2,Violenza unilaterale contro civili,Government of Israel,Civilians,4
32.0,35.25,1989-04-26,1989,West Bank,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.42507,34.3734,1989-05-03,1989,Gaza Strip,Gaza Strip,1,0,Conflitto tra Stati/gruppi armati,Government of Israel,Hamas,4
31.78333,35.21667,1989-05-03,1989,Jerusalem city,Jerusalem district,2,2,Violenza unilaterale contro civili,PIJ,Civilians,1
31.297,34.24344,1989-05-07,1989,Rafah town,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.51667,34.45,1989-05-11,1989,Gaza town,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.52935,35.0938,1989-05-11,1989,Hebron town,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.51667,34.45,1989-05-12,1989,Gaza town,Gaza Strip,0,0,Violenza unilaterale contro civili,Government of Israel,Civilians,1
32.0,35.25,1989-05-16,1989,West Bank,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.42507,34.3734,1989-05-16,1989,Gaza Strip,Gaza Strip,3,3,Violenza unilaterale contro civili,Government of Israel,Civilians,4
32.0,35.25,1989-05-16,1989,West Bank,West Bank,3,3,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.28537,34.25186,1989-05-19,1989,Rafah refugee camp,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.90256,35.19555,1989-06-04,1989,Ramallah town,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.28537,34.25186,1989-06-16,1989,Rafah refugee camp,Gaza Strip,2,2,Violenza unilaterale contro civili,Government of Israel,Civilians,1
32.21986,35.29744,1989-07-06,1989,Askar refugee camp,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.80376,35.10251,1989-07-06,1989,Kiryat Ye'Arim town,Jerusalem district,16,16,Violenza unilaterale contro civili,PIJ,Civilians,2
31.90256,35.19555,1989-07-10,1989,Ramallah town,West Bank,1,0,Conflitto tra Stati/gruppi armati,Government of Israel,PFLP,1
32.0,35.25,1989-07-10,1989,West Bank,West Bank,5,5,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.42507,34.3734,1989-07-19,1989,Gaza Strip,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.53491,34.44662,1989-08-09,1989,al-Shati refugee camp,Gaza Strip,2,2,Violenza unilaterale contro civili,Government of Israel,Civilians,1
31.53639,34.49454,1989-08-20,1989,Jabaliyah refugee camp,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
32.0,35.25,1989-08-21,1989,West Bank,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
31.51667,34.45,1989-08-23,1989,Gaza town,Gaza Strip,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,1
32.4575,35.5561,1989-09-02,1989,Kfar Ruppin kibbutz,Northern district,3,0,Conflitto tra Stati/gruppi armati,Government of Israel,PFLP-GC,1
32.0,35.25,1989-09-11,1989,West Bank,West Bank,1,1,Violenza unilaterale contro civili,Government of Israel,Civilians,4
