governatorato,area,vittime_totali,vittime_dal_2023,eventi_totali
Gaza,Striscia di Gaza,41704,41354,13570
Deir al-Balah,Striscia di Gaza,24251,24120,8405
Khan Yunis,Striscia di Gaza,22627,22483,9388
Gaza Nord,Striscia di Gaza,22369,22089,6720
Rafah,Striscia di Gaza,13559,13460,5357
Jenin,Cisgiordania,563,381,5486
Nablus,Cisgiordania,384,195,12449
Tulkarem,Cisgiordania,312,273,3304
Gerusalemme,Cisgiordania,286,97,7728
Hebron (Al-Khalil),Cisgiordania,281,139,10130
Ramallah,Cisgiordania,264,133,10905
Tubas,Cisgiordania,136,122,1683
Betlemme,Cisgiordania,117,53,4976
Qalqilya,Cisgiordania,91,69,4442
Salfit,Cisgiordania,68,16,3055
Gerico,Cisgiordania,57,32,1437
